"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\MerchantItem.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Notifications.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Order.ts", "TypeScript", 0, 25, 0, 0, 0, 1, 6, 32
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Promos.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Referral.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Rider.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Transaction.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\User.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Alex\Desktop\Projects\backend\src\types\http\AuthCreateData.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Alex\Desktop\Projects\backend\src\types\http\MerchantData.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Alex\Desktop\Projects\backend\src\types\http\NewAddressData.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Alex\Desktop\Projects\backend\src\types\http\NewJobData.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 5, 21
"c:\Users\Alex\Desktop\Projects\backend\src\types\http\NewNotificationData.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Alex\Desktop\Projects\backend\src\types\http\OrderData.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\http\PaypalAuthToken.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Alex\Desktop\Projects\backend\src\types\http\PaypalRoutes.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\path\PathPermissions.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\path\PathReturnable.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Alex\Desktop\Projects\backend\src\types\token\EncryptedToken.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\token\TokenContent.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Alex\Desktop\Projects\backend\src\types\ws\Protocol.ts", "TypeScript", 0, 90, 0, 0, 0, 11, 20, 121
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Address.ts", "TypeScript", 0, 139, 0, 0, 0, 21, 20, 180
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Admin.ts", "TypeScript", 0, 72, 0, 0, 0, 1, 11, 84
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Crypto.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Job.ts", "TypeScript", 0, 631, 0, 0, 0, 93, 89, 813
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Job2.ts", "TypeScript", 0, 52, 0, 0, 0, 3, 9, 64
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Math.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 20, 128
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Merchant.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 19, 109
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Notification.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Orders.ts", "TypeScript", 0, 82, 0, 0, 0, 10, 14, 106
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Paypal.ts", "TypeScript", 0, 51, 0, 0, 0, 3, 8, 62
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Rider.ts", "TypeScript", 0, 85, 0, 0, 0, 13, 10, 108
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Token.ts", "TypeScript", 0, 71, 0, 0, 0, 1, 9, 81
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Users.ts", "TypeScript", 0, 267, 0, 0, 0, 49, 46, 362
"c:\Users\Alex\Desktop\Projects\backend\src\utils\Websocket.ts", "TypeScript", 0, 76, 0, 0, 0, 10, 17, 103
"c:\Users\Alex\Desktop\Projects\backend\src\utils\index.ts", "TypeScript", 0, 118, 0, 0, 0, 1, 14, 133
"c:\Users\Alex\Desktop\Projects\backend\src\ws\events\Close.ts", "TypeScript", 0, 7, 0, 0, 0, 3, 4, 14
"c:\Users\Alex\Desktop\Projects\backend\src\ws\events\Open.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\Alex\Desktop\Projects\backend\tests\auth.js", "JavaScript", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Alex\Desktop\Projects\backend\tests\createjob.js", "JavaScript", 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Alex\Desktop\Projects\backend\tsconfig.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 11
"Total", "-", 55, 4543, 11, 96, 18, 324, 927, 5974
