Date : 2023-09-01 21:00:34
Directory : c:\Users\Alex\Desktop\Projects\backend
Total : 150 files,  4720 codes, 324 comments, 926 blanks, all 5970 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetUserJobs.ts                | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\user\UpdateUserProfile.ts          | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Address.ts                        | TypeScript         |         20 |          0 |          7 |         27 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\AddressUsed.ts                    | TypeScript         |         17 |          1 |          5 |         23 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Admins.ts                         | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\ExpoToken.ts                      | TypeScript         |         13 |          0 |          4 |         17 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Job.ts                            | TypeScript         |         33 |          2 |         10 |         45 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Job2.ts                           | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Likes.ts                          | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\LoadRequest.ts                    | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Merchant.ts                       | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\MerchantItem.ts                   | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Notification.ts                   | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Order.ts                          | TypeScript         |         22 |          0 |          7 |         29 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Promos.ts                         | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Referral.ts                       | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Rider.ts                          | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\Transaction.ts                    | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\Alex\Desktop\Projects\backend\src\schemas\User.ts                           | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\Config.ts                           | TypeScript         |         72 |          0 |         19 |         91 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\ErrorCodes.ts                       | TypeScript         |         60 |         15 |         15 |         90 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\Fees.ts                             | TypeScript         |         15 |          0 |          1 |         16 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\Http.ts                             | TypeScript         |         34 |          0 |         12 |         46 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\Schema.ts                           | TypeScript         |          7 |          1 |          1 |          9 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\Services.ts                         | TypeScript         |        129 |          0 |         36 |        165 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\Storages.ts                         | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\Tables.ts                           | TypeScript         |         19 |         26 |          2 |         47 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\Token.ts                            | TypeScript         |         14 |          1 |          3 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\UploadFileOptions.ts                | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\Alex\Desktop\Projects\backend\src\types\database\Address.ts                 | TypeScript         |         17 |          2 |          6 |         25 |
